,0,1,2,3,4,5,6,7,8,9
100000659781431,155415196088,164636565409,360146510790751,338116306284202,211418062225555,485786431445960,305305996195134,359010427525572,670533439634662,308822925903893
100003952834962,262929017175213,155415196088,338116306284202,655465514521111,255163191262710,211418062225555,308822925903893,516605178499409,395874417233821,715133925244500
100000597075136,158689674204368,667509943311630,177852742263101,211418062225555,164636565409,120230848080105,439921372737138,212192215580475,359010427525572,305305996195134
593580496,211418062225555,1431622807089649,120230848080105,164636565409,305305996195134,1437932199754399,395874417233821,338116306284202,670533439634662,655465514521111
100001229906490,155415196088,713821132013725,164636565409,177852742263101,1437932199754399,120230848080105,670533439634662,217691105052968,667509943311630,451125094971218
100010865657945,207161862741164,155415196088,146373752131063,411461885661959,518898878175981,360146510790751,262929017175213,670533439634662,164636565409,159149310881264
100004001484811,469965193057993,207161862741164,308822925903893,670533439634662,755009684522390,212192215580475,172095542845814,182147415149455,221652474655457,355318834582376
100009476706534,155415196088,211418062225555,207161862741164,670533439634662,465704200150560,117843318367122,485786431445960,262929017175213,360146510790751,518898878175981
100011081377101,211418062225555,1437932199754399,155415196088,1431622807089649,158689674204368,355318834582376,155155304551627,713821132013725,372832266226334,164636565409
100000971012080,164636565409,485786431445960,210824802405318,177852742263101,360146510790751,120230848080105,286328794792713,439921372737138,355318834582376,359010427525572
100001508032831,164636565409,211418062225555,713821132013725,469965193057993,120230848080105,450653978389027,670533439634662,155415196088,404504799581024,308822925903893
100005742132637,211418062225555,155415196088,360146510790751,158689674204368,217691105052968,485786431445960,247893948745635,655465514521111,177852742263101,1437932199754399
100000475956468,164636565409,211418062225555,177852742263101,155415196088,405037762927149,1494626907472131,158689674204368,411461885661959,469965193057993,110449969042552
100000209720620,395874417233821,485786431445960,360146510790751,670533439634662,217691105052968,158689674204368,308822925903893,355318834582376,469965193057993,359010427525572
100001694628536,155415196088,211418062225555,469965193057993,439921372737138,355318834582376,368312989951281,177852742263101,771535426236551,411461885661959,1437932199754399
100000193684494,161719933937426,405037762927149,211418062225555,164636565409,207161862741164,155415196088,120230848080105,338116306284202,670533439634662,355318834582376
1519604796,655465514521111,155415196088,1437932199754399,411461885661959,164636565409,713821132013725,211418062225555,308822925903893,368312989951281,462266583941871
100001856613087,164636565409,155415196088,211418062225555,655465514521111,359010427525572,469965193057993,1431622807089649,713821132013725,667826629949888,360146510790751
100000275038806,164636565409,355318834582376,469965193057993,110449969042552,670533439634662,158689674204368,360146510790751,1437932199754399,465704200150560,148592598530893
100002572084234,713821132013725,155415196088,360146510790751,469965193057993,158689674204368,670533439634662,117843318367122,164636565409,262929017175213,338116306284202
100004326573913,1437932199754399,670533439634662,211418062225555,186513324707814,338116306284202,360146510790751,164636565409,1431622807089649,177852742263101,155415196088
100007947495506,713821132013725,155415196088,655465514521111,355318834582376,204179999622558,411461885661959,158689674204368,186513324707814,211418062225555,305305996195134
100001351271211,713821132013725,211418062225555,164636565409,386201611531603,305305996195134,670533439634662,485786431445960,518898878175981,117843318367122,184104295002919
100007844224049,655465514521111,177852742263101,155415196088,286328794792713,308822925903893,338116306284202,713821132013725,439921372737138,771535426236551,211418062225555
100000187826779,155415196088,308822925903893,667509943311630,211418062225555,120230848080105,439921372737138,1486141631617711,355318834582376,469965193057993,411461885661959
100009110749189,164636565409,211418062225555,308822925903893,355318834582376,155155304551627,158689674204368,262929017175213,411461885661959,670533439634662,436613806496861
1539999299,172095542845814,155415196088,305305996195134,221652474655457,485786431445960,485991018197585,713821132013725,158689674204368,338116306284202,182976228467232
100001508516419,518898878175981,146373752131063,360146510790751,155415196088,153930936150,727283567282040,469965193057993,211418062225555,439921372737138,771535426236551
100003712218623,211418062225555,355318834582376,133247926884581,670533439634662,411461885661959,1437932199754399,120230848080105,172095542845814,1673394289542542,262929017175213
1057897270,158689674204368,469965193057993,211418062225555,439921372737138,667509943311630,655465514521111,1673394289542542,360146510790751,338116306284202,713821132013725
1808734237,211418062225555,360146510790751,164636565409,155415196088,1437932199754399,713821132013725,359010427525572,465704200150560,120230848080105,153977564805074
1796930363,155415196088,164636565409,262929017175213,713821132013725,518898878175981,1437932199754399,655465514521111,926555167359486,1431622807089649,120125374732540
100003957361477,155415196088,164636565409,211418062225555,146373752131063,177852742263101,158689674204368,485991018197585,110449969042552,153930936150,207161862741164
1374772777,164636565409,155415196088,177852742263101,655465514521111,211418062225555,355318834582376,485786431445960,670533439634662,465704200150560,161719933937426
100007616538060,155415196088,211418062225555,485786431445960,158689674204368,713821132013725,1437932199754399,217691105052968,372832266226334,670533439634662,875179239239325
100001819269129,164636565409,155415196088,213011165430942,305305996195134,1417201508570124,207161862741164,184104295002919,451125094971218,655465514521111,146373752131063
100001336830535,155415196088,172095542845814,158689674204368,395874417233821,262929017175213,211418062225555,386201611531603,462266583941871,323940062859,120230848080105
100003880778934,439921372737138,655465514521111,164636565409,155415196088,177852742263101,148592598530893,158689674204368,355318834582376,359010427525572,343606679138879
100004087592469,164636565409,439921372737138,411461885661959,211418062225555,670533439634662,1437932199754399,158689674204368,1673394289542542,359010427525572,355318834582376
100000180526457,164636565409,158689674204368,184104295002919,1494626907472131,1486141631617711,360146510790751,395874417233821,211418062225555,177852742263101,485786431445960
100002703937662,164636565409,713821132013725,670533439634662,262929017175213,211418062225555,308822925903893,411461885661959,465704200150560,155415196088,177852742263101
