id,user_id,hotel_id,comment,status
1,100000000581143,443915159044396,Kidness Happiness Smile Friendly People,1
2,100000008600060,1599698676934263,Khách sạn tuyệt vời. Sẽ quay lại,1
3,100000009684587,117843318367122,"Great place, price is not expensive but inside and outside views were outstanding. And it is near Hoan Kiem lake!!!",1
4,100000010908431,1502218643346817,New home for all of my friends &lt;3,1
5,100000011204996,1421838558069486,Very Good Hotel,1
6,100000012755459,1571612506414924,"Just had a week in a fabulous apartment in mojacar. Excellent communication before, during and after our holiday. Nothing too much trouble. Met and taken to apartment very late in the evening. Would recommend them - customer service is to a very high standard. Thank you - Liz and Steve ☀️",1
7,100000017724690,265312270305501,The worst hotel ever. They appear to fit your need but all they offer are lies,0
8,100000019952877,1479410105631173,"Wonderful owner, very humble supportive staffs, fast services, walking distance to any shopping area, no worry of security.",1
9,100000021505552,485786431445960,Terrible service for Club Marriott Member.. Even if you paid for membership but you cannot make a reservation by your scheduel but may follow their schedule but not sure.,0
10,100000022785607,386201611531603,ra hanoi chắc ko về nhà qua đây ở quá ... toẹt vời,1
11,100000024063754,172095542845814,Exceptional customer service! I have been staying in Grand Mercure Hotel for business and have found the rooms and service excellent. I would highly recommend Grand Mercure for business as well as personal travel. Both views are great but the view you get from the Tran Thi Ly Bridge is more beautiful at night!,1
12,100000026020478,671410232917210,"Simply superb. Great location, great staff and the best restaurant in town.",1
13,100000027187804,276309149200455,"Awesome, the friendliness comes from heart. I will miss you all!",1
14,100000028445480,755009684522390,Gọn và qá vừa cho 2 nh,1
15,100000029911648,237861679739114,Tốt,1
16,100000033283940,1017426538344910,Great food! Excellent Service!,1
17,100000035146893,294365914079840,"Beautiful hotel, great service, lovely people. Kids loved the pool and the food was very good and reasonably priced.",1
18,100000036531306,155415196088,Dịch vụ nhân viên quá kém.,0
19,100000038383306,503706833117673,Khách sạn đẹp và những điều khách sạn mang lại cho khách thật nhiều bất ngờ !!!,1
20,100000039016699,155415196088,Perfect...........................................,1
21,100000041761699,155415196088,So good,1
22,100000044977862,403621223042293,Tuyệt,1
23,100000047238728,1599698676934263,"Chắc chắn lần tới quay lại sẽ lưu ở đây nhiều hơn chút nữa. Không gian của Jolie rất đẹp, bé bé xinh xinh đúng như cái tên của nó. Quan trọng là phục vụ và chỉ dẫn rất nhiệt tình. Cám ơn Jolie nhiều nha.",1
24,100000058854094,1031480000248186,"Great Dorm and Private room, Great location, Cheap, Clean...Great Jungle Bar at the lobby , Everyday have Free Beer, Jungle Drinks, Vietnamese wine...for happy hour.. Highly recommend this Hostel",1
25,100000059375848,159149310881264,awesome !!!!,1
26,100000062202920,395874417233821,Quá Tuyệt,1
27,100000062531574,347931698701255,One of the best hotel I have ever been to!!!!!,1
28,100000068882251,255163191262710,"Cảm ơn Pullman Hanoi rất nhiều, nhờ có Pullman Hanoi mà em đã có 1 buổi tối tuyệt vời, đáng nhớ ở Monsoon 2015 &lt;3",1
29,100000075215666,359837074208336,"Blue's an awesome guy, he'll give you all the info you need.",1
30,100000089250116,926555167359486,"Hệ thống phòng ấm cúng và sang trọng, dịch vụ phong phú, nhân viên trẻ trung, tận tình. Hy vọng sớm có dịp hợp tác với Mango :); - @Thư Viện Du Lịch",1
